City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,road town,18.42,-64.62,78.01,75,0,5.99,VG,1585692959
88,kaitangata,-46.28,169.85,54.0,90,2,1.99,NZ,1585692959
89,hirara,24.8,125.28,73.4,94,75,5.82,JP,1585692960
90,inhambane,-23.86,35.38,74.14,70,0,9.1,MZ,1585692960
91,owosso,43.0,-84.18,43.0,80,90,10.29,US,1585692960
92,busselton,-33.65,115.33,54.0,74,98,6.24,AU,1585692961
93,tommot,58.96,126.29,19.83,92,100,12.28,RU,1585692961
94,humboldt,40.67,-123.92,53.01,93,75,11.41,US,1585692961
95,gat,31.61,34.76,62.6,72,20,10.29,IL,1585692961
96,charters towers,-20.1,146.27,67.84,84,0,5.46,AU,1585692961
97,yar-sale,66.83,70.83,7.77,92,25,8.59,RU,1585692962
98,port elizabeth,-33.92,25.57,62.6,77,26,19.46,ZA,1585692962
99,ilulissat,69.22,-51.1,3.2,65,97,17.22,GL,1585692963
100,pisco,-13.7,-76.22,71.6,30,75,5.82,PE,1585692963
101,cayenne,4.93,-52.33,80.6,83,90,8.05,GF,1585692963
102,diego de almagro,-26.37,-70.05,80.2,23,0,11.39,CL,1585692963
103,maneadero,31.72,-116.57,63.0,85,100,4.0,MX,1585692964
104,tambopata,-12.73,-69.18,86.27,61,98,3.42,PE,1585692964
105,ludvika,60.15,15.19,42.01,64,97,10.29,SE,1585692964
106,butaritari,3.07,172.79,83.55,78,82,18.19,KI,1585692965
107,tiksi,71.69,128.87,-5.22,87,100,4.23,RU,1585692965
108,hobart,-42.88,147.33,61.0,81,20,3.36,AU,1585692697
109,kyren,51.68,102.14,31.75,57,49,6.38,RU,1585692965
110,rahimatpur,17.6,74.2,78.71,33,33,2.89,IN,1585692966
111,mar del plata,-38.0,-57.56,64.99,59,40,11.41,AR,1585692966
112,onda,39.97,-0.25,55.4,82,75,9.17,ES,1585692944
113,rudnichnyy,59.62,52.47,23.11,96,100,8.19,RU,1585692967
114,faanui,-16.48,-151.75,82.45,77,0,11.14,PF,1585692967
115,vuktyl,63.86,57.31,13.53,92,99,2.3,RU,1585692968
116,hasaki,35.73,140.83,52.0,93,75,4.7,JP,1585692968
117,cockburn town,21.46,-71.14,77.14,68,0,9.75,TC,1585692968
118,tigil,57.8,158.67,22.57,95,100,9.06,RU,1585692968
119,puerto baquerizo moreno,-0.9,-89.6,86.0,70,20,6.93,EC,1585692969
120,nguru,12.88,10.45,87.55,20,82,4.61,NG,1585692969
121,slave lake,55.28,-114.77,6.8,77,90,14.99,CA,1585692970
122,omboue,-1.57,9.26,80.37,85,34,7.07,GA,1585692970
123,boyolangu,-8.12,111.89,76.96,82,100,1.19,ID,1585692970
124,san policarpo,12.18,125.51,80.13,76,69,5.61,PH,1585692970
125,tamandare,-8.76,-35.1,81.54,76,97,8.3,BR,1585692971
126,kodiak,57.79,-152.41,37.4,34,1,4.7,US,1585692971
127,dong hoi,17.48,106.6,77.09,92,83,5.53,VN,1585692971
128,grindavik,63.84,-22.43,35.6,78,75,18.34,IS,1585692972
129,rawson,-43.3,-65.1,69.08,40,20,24.27,AR,1585692972
130,aksu,41.12,80.26,47.28,35,99,5.88,CN,1585692972
131,leh,34.17,77.58,25.16,25,100,5.1,IN,1585692972
132,ilam,26.92,87.92,59.29,27,0,4.25,NP,1585692973
133,geraldton,-28.77,114.6,62.6,77,65,8.05,AU,1585692973
134,kamiiso,41.82,140.65,39.2,86,75,6.93,JP,1585692974
135,constitucion,-35.33,-72.42,64.17,57,23,18.68,CL,1585692974
136,fortuna,40.6,-124.16,54.0,93,75,11.41,US,1585692974
137,comodoro rivadavia,-45.87,-67.5,64.4,59,20,1.12,AR,1585692764
138,nacala,-14.54,40.67,76.08,85,1,11.48,MZ,1585692975
139,khatanga,71.97,102.5,-15.14,89,58,9.22,RU,1585692975
140,vila franca do campo,37.72,-25.43,53.6,66,20,10.29,PT,1585692975
141,tam ky,15.57,108.48,78.8,94,20,6.93,VN,1585692975
142,jumla,29.27,82.18,47.21,26,100,0.98,NP,1585692976
143,saldanha,-33.01,17.94,60.8,77,0,14.99,ZA,1585692976
144,mabaruma,8.2,-59.78,80.47,69,98,8.48,GY,1585692976
145,guerrero negro,27.98,-114.06,79.32,21,100,6.44,MX,1585692976
146,sibolga,1.74,98.78,77.43,78,76,2.95,ID,1585692977
147,tautira,-17.73,-149.15,87.8,66,2,6.93,PF,1585692977
148,yellowknife,62.46,-114.35,10.0,39,20,6.93,CA,1585692977
149,santa rosa,14.31,121.11,78.8,78,20,4.09,PH,1585692977
150,pimentel,-6.84,-79.93,77.4,68,30,13.65,PE,1585692978
151,nanortalik,60.14,-45.24,33.19,89,32,15.05,GL,1585692978
152,kieta,-6.22,155.63,79.02,81,99,4.5,PG,1585692978
153,evensk,61.95,159.23,8.38,92,100,3.71,RU,1585692737
154,abu zabad,12.35,29.25,83.1,12,0,11.18,SD,1585692978
155,avera,33.19,-82.53,62.6,86,90,6.44,US,1585692979
156,tandil,-37.32,-59.13,64.0,64,45,1.99,AR,1585692979
157,hilo,19.73,-155.09,75.99,73,90,5.55,US,1585692979
158,mayo,38.89,-76.51,48.99,70,90,12.75,US,1585692979
159,alnashi,56.19,52.48,40.46,85,100,6.04,RU,1585692980
160,flin flon,54.77,-101.86,19.4,67,90,12.75,CA,1585692980
161,lata,40.16,-8.33,44.01,87,20,4.7,PT,1585692980
162,guigue,10.09,-67.78,83.25,44,91,4.47,VE,1585692981
163,klaksvik,62.23,-6.59,44.6,87,100,27.51,FO,1585692981
164,maningrida,-12.07,134.27,76.41,90,77,6.87,AU,1585692981
165,pancas,-19.23,-40.85,75.99,74,93,4.61,BR,1585692982
166,tual,-5.67,132.75,85.17,71,100,4.25,ID,1585692982
167,tela,15.78,-87.45,91.4,79,20,6.93,HN,1585692982
168,niquelandia,-14.47,-48.46,77.65,62,3,3.02,BR,1585692982
169,alofi,-19.06,-169.92,84.2,89,75,6.93,NU,1585692912
170,peniche,39.36,-9.38,50.0,70,40,4.7,PT,1585692983
171,gomel,52.43,30.98,26.6,63,44,4.47,BY,1585692703
172,katwa,23.64,88.13,76.24,23,0,2.82,IN,1585692983
173,kidal,18.44,1.41,84.58,12,0,9.84,ML,1585692983
174,namatanai,-3.67,152.43,81.79,76,100,8.34,PG,1585692984
175,pocone,-16.26,-56.62,86.25,68,46,3.04,BR,1585692984
176,faya,18.39,42.45,62.6,55,0,5.82,SA,1585692984
177,kalawit,8.07,122.52,76.32,85,53,7.34,PH,1585692985
178,karratha,-20.74,116.85,84.33,27,100,9.01,AU,1585692985
179,ahipara,-35.17,173.17,64.83,73,99,5.23,NZ,1585692870
180,redmond,47.67,-122.12,52.0,61,75,9.17,US,1585692949
